study;sample;Larcenist_type;type_study;Larcenist_behavior;tips_phylo;sp_plant;sp_genus;plant_family;Matting_system;flower_morph;flower_type;inflorescence;larce_group;pollinator;players;Type_of_metric;original_metric;n_larcenist;mean_larcenist;v_larcenist;n_control;mean_control;v_control;Variation_metric;sd_larcenist;sd_control;yi;vi
Zhangetal2007;226;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;mix;insect-insect;male;pollen_deposition_on_stigma;80;2.73;0.24;1000;2.96;0.35;SE;2.147;11.068;-0.080887659;0.02171277
Morris_1996;145;Robbers;Non-Experimental;Obligatory;Mertensia_paniculata;Mertensia_paniculata;Mertensia;Boraginaceae;self_compatible;NA;tube;yes;bees;bees;insect-insect;female;number_of_nutlets_per_flower;50;5.07;0.52;50;4.47;0.5;SE;3.677;3.536;0.125952409;0.023034899
Zhangetal2009a;233;Robbers;Non-Experimental;Facultative;Corydalis_incisa;Corydalis_incisa;Corydalis;Papaveraceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;seed_set_per_plant;115;70.7;8.8;119;66.6;7.7;SE;94.369;83.997;0.059740995;0.028859463
Zhangetal_2010a;213;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;bees;insect-insect;female;fruit_set_per_plant;4;34.72;5.45;4;79.77;6.84;SE;10.9;13.68;-0.831831604;0.031992061
Richmanetal_2018;157;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_plant;40;43.33;6.67;40;68.22;8;SE;42.18478399;50.59644256;-0.453892541;0.037447664
Pelayoetal2011;146;Robbers;Non-Experimental;NA;Passiflora_mixta;Passiflora_mixta;Passiflora;Passifloraceae;self_incompatible;zygomorphic;tube;no;birds;birds;bird-bird;female;seed_set_per_plant;31;151;7;31;81;16;SE;38.97435054;89.08422981;0.622830682;0.041167471
Tameles&Pan_2022;184;Robbers;Experimental;Experimental;Impatiens_capensis;Impatiens_capensis;Impatiens;Balsaminaceae;self_compatible;zygomorphic;tube;no;bees;bees;insect-insect;female;pollen_deposition_on_stigma;44;135;18;35;139;23;SE;119.3984925;136.069835;-0.029199155;0.045157313
Mallof_2001;256;Robbers;Non-Experimental;Obligatory;Corydalis_caseana;Corydalis_caseana;Corydalis;Papaveraceae;self_compatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;number_of_seed_per_fruit;8;3.7;1.03;8;3.34;1.9;2SE;0.182079996;2.07950098;0.102362013;0.048757349
Andaloetal2019;4;Robbers;Experimental;Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum;Plantaginaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;average_fruit_volume;20;454.08;248.71;20;507.65;298.35;SD;248.71;298.35;-0.11151884;0.032270056
Morris_1996;144;Robbers;Non-Experimental;Obligatory;Mertensia_paniculata;Mertensia_paniculata;Mertensia;Boraginaceae;self_compatible;NA;tube;yes;bees;bees;insect-insect;female;seed_per_fruit;50;3.42;0.67;50;3.17;0.43;SE;4.738;3.041;0.075908963;0.056790921
Carrio&Guemes2019;30;Robbers;Non-Experimental;Facultative;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;fruit_set_per_plant;20;87.2;6.1;20;84.4;90;SD;6.1;90;0.032636929;0.057099871
Varma&Sinu2019;195;Robbers;Non-Experimental;Obligatory;Embothrium_coccineum;Embothrium_coccineum;Embothrium;Proteaceae;self_compatible;NA;tube;yes;ants;birds;insect-bird;female;seed_set_per_plant;30;14.5;3.5;30;9;1.00E-04;SE;19.17028951;0.001;0.476924072;0.058263972
Richmanetal_2018;154;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;seed_per_plant;40;22;4.67;40;68.22;8;SE;29.53567335;50.59644256;-1.131695324;0.058811416
Arizmendieetal1996;5;Robbers;Experimental;Facultative;Salvia_mexicana;Salvia_mexicana;Salvia;Lamiaceae;self_compatible;zygomorphic;tube;yes;birds;birds;bird-bird;female;number_of_seed_per_fruit;30;0.9;1.2;30;2.5;1.2;SD;1.2;1.2;-1.021651248;0.066939259
Santosetal2020;173;Robbers;Non-Experimental;Facultative;Tecoma_stans;Tecoma_stans;Tecoma;Bignoniaceae;self_compatible;zygomorphic;tube;yes;bees;birds;insect-bird;female;proportion_of_flowers_turning_into_fruits;300;2.2;7.1;300;1.6;6.2;SD;7.1;6.2;0.318453731;0.084769714
Gelvez-Zuningaetal2016;87;Robbers;Non-Experimental;NA;Collaea_speciosa;Collaea_speciosa;Collaea;Fabaceae;self_incompatible;NA;tube;yes;bees;birds;insect-bird;female;ratio_of_flower_abortion;570;0.38;0.061;716;0.22;0.057;SE;1.456;1.52521605;0.546543706;0.092884235
Andaloetal2019;2;Robbers;Experimental;Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum;Plantaginaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;fruit_set_per_plant;39;0.326;0.341;35;0.356;0.397;SD;0.341;0.397;-0.088033349;0.063586368
Irwin&Brody1999;239;Robbers;Non-Experimental;Obligatory;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;male;pollen_donation;3;0.01;0.01;3;0.03;0.01;SE;0.005773503;0.005773503;-1.098612289;0.123456803
Zhangetal_2010a;218;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;bees;insect-insect;female;pollen_deposition_on_stigma;37;17.79;6.25;262;13.85;5.68;SE;38.017;91.939;0.250351269;0.291614131
Zhangetal_2010a;214;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;bees;insect-insect;female;pollen_deposition_on_stigma;59;9.61;3.42;262;13.85;5.68;SE;26.27;91.939;-0.36548101;0.29484415
Zhangetal_2010a;217;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;bees;insect-insect;female;seed_per_fruit;286;2.61;1.22;206;2.68;0.97;SE;20.632;13.922;-0.026466573;0.349490574
Zhangetal2007;227;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;mix;insect-insect;male;pollen_deposition_on_stigma;40;4085;1415;40;3627;1789;SE;8949.246;11314.629;0.118915868;0.363276218
Zhangetal_2010a;215;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;bees;insect-insect;female;seed_per_fruit;81;2.34;1.44;206;2.68;0.97;SE;12.96;13.922;-0.135665865;0.509696763
Varma&Sinu2019;192;Robbers;Non-Experimental;Obligatory;Embothrium_coccineum;Embothrium_coccineum;Embothrium;Proteaceae;self_compatible;NA;tube;yes;ants;birds;insect-bird;female;fruit_set_per_plant;30;2.3;1.6;30;3.5;2.5;SE;8.764;13.693;-0.419853846;0.994179758
Richardson_2004;150;Robbers;Non-Experimental;Obligatory;Chilopsis_linearis;Chilopsis_linearis;Chilopsis;Bignoniaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;pollen_tube_per_stile;4;0.5;0.6;42;1.7;0.33;SE;1.2;2.13864443;-1.223775432;1.477681661
Zhangetal2007;228;Robbers;Non-Experimental;Facultative;Glechoma_longituba;Glechoma_longituba;Glechoma;Lamiaceae;self_compatible;zygomorphic;tube;no;bees;mix;insect-insect;male;pollen_deposition_on_stigma;373;15.96;7.22;469;13.85;16;SE;139.441;346.503;0.141800359;1.539218236
Richmanetal_2018;153;Robbers;Experimental;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;zygomorphic;tube;yes;bees;birds;insect-bird;male;pollen_donation;10;0.04;0.06;10;0.23;0.06;SE;0.18973666;0.18973666;-1.749199855;2.31805294
Andaloetal2019;3;Robbers;Experimental;Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum;Plantaginaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;average_fruit_volume;13;519.89;200.1;10;590.81;352.22;SD;200.1;352.22;-0.127877226;0.046936578
Andaloetal2019;1;Robbers;Experimental;Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum;Plantaginaceae;self_incompatible;zygomorphic;tube;yes;bees;bees;insect-insect;female;fruit_set_per_plant;30;0.25;0.34;25;0.22;0.32;SD;0.34;0.32;0.127833372;0.146281433
Rojas-Nossaetal2016;167;Robbers;Experimental;Experimental;Lonicera_etrusca;Lonicera_etrusca;Lonicera;Caprifoliaceae;self_compatible;zygomorphic;tube;yes;bees;hawkmoth;insect-insect;male;pollen_donation;50;2032.197;385.97;50;2024.621;385.976;SD;385.97;385.976;0.003734951;0.001448329
